id,asn_dn,brand,country,delivered_to_client_date,delivery_recorded_date,dosage,dosage_form,first_line_designation,freight_cost,fulfill_via,item_description,line_item_insurance,line_item_quantity,line_item_value,managed_by,manufacturing_site,molecule_test_type,pack_price,po_sent_to_vendor_date,po_so,pq,pq_first_sent_to_client_date,product_group,project_code,scheduled_delivery_date,shipment_mode,sub_classification,unit_of_measure,unit_price,vendor,vendor_inco_term,weight
84398,DN-3828,Generic,Mozambique,05-Nov-14,07-Nov-14,150/30mg,Tablet - FDC,No,See DN-3828 (ID#:82713),From RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",13.39,5232,13027.68,PMO - US,"Strides, Bangalore, India.",Lamivudine/Stavudine,2.49,N/A - From RDC,SO-47080,FPQ-13123,10/21/13,ARV,111-MZ-T30,29-Aug-14,Truck,Adult,60,0.04,SCMS from RDC,N/A - From RDC,See DN-3828 (ID#:82713)
86703,DN-3788,Generic,Rwanda,13-Aug-14,14-Aug-14,150/300/200mg,Tablet - FDC,Yes,15617.93,From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",717.06,86008,697524.88,PMO - US,Hetero Unit III Hyderabad IN,Lamivudine/Nevirapine/Zidovudine,8.11,N/A - From RDC,SO-48800,FPQ-14111,4/22/14,ARV,107-RW-T30,30-Oct-14,Truck,Adult,60,0.14,SCMS from RDC,N/A - From RDC,11117
14820,ASN-13949,Determine,Pakistan,29-Jun-12,29-Jun-12,MIssing,Test kit,Yes,14959.84,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",239.13,2132,170560.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",80.0,1/17/12,SCMS-132510,FPQ-9019,12/27/11,HRDT,110-PK-T30,29-Jun-12,Air,HIV test,100,0.8,"Orgenics, Ltd",EXW,1017
14279,ASN-16470,Generic,Tanzania,01-Nov-12,01-Nov-12,600mg,Tablet,Yes,41585.93,Direct Drop,"Efavirenz 600mg, tablets, 30 Tabs",481.38,100986,343352.4,PMO - US,Hetero Unit III Hyderabad IN,Efavirenz,3.4,08-09-12,SCMS-156530,FPQ-10394,7/26/12,ARV,900-TZ-T30,01-Nov-12,Air,Adult,30,0.11,HETERO LABS LIMITED,EXW,10579
83448,DN-1962,Generic,Mozambique,18-Aug-10,18-Aug-10,150/300/200mg,Tablet - FDC,Yes,11134.62,From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",1862.65,77000,863940.0,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Nevirapine/Zidovudine,11.22,N/A - From RDC,SO-35740,FPQ-4711,12/23/09,ARV,111-MZ-T30,31-Aug-10,Truck,Adult,60,0.19,SCMS from RDC,N/A - From RDC,12980
53616,ASN-19819,Generic,Haiti,02-Sep-13,02-Sep-13,10mg/ml,Oral solution,No,See ASN-19819 (ID#:13739),Direct Drop,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",3.42,1932,2762.76,PMO - US,"Aurobindo Unit III, India",Lamivudine,1.43,3/22/13,SCMS-180940,FPQ-11443,02-07-13,ARV,106-HT-T30,02-Sep-13,Ocean,Pediatric,240,0.01,Aurobindo Pharma Limited,EXW,See ASN-19819 (ID#:13739)
36166,ASN-18312,Uni-Gold,South Sudan,22-Mar-13,22-Mar-13,MIssing,Test kit,Yes,1101.91,Direct Drop,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",1.74,44,1408.0,PMO - US,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",32.0,01-11-13,SCMS-173100,FPQ-11260,12/17/12,HRDT,900-SS-T30,22-Mar-13,Air,HIV test,20,1.6,"Trinity Biotech, Plc",EXW,14
83507,DN-2250,Aluvia,Benin,30-Jun-11,30-Jun-11,200/50mg,Tablet,Yes,6477.67,From RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",34.01,611,20615.14,PMO - US,ABBVIE Ludwigshafen Germany,Lopinavir/Ritonavir,33.74,N/A - From RDC,SO-39810,FPQ-7658,5/15/11,ARV,100-BJ-T30,13-Jun-11,Air,Adult,120,0.28,SCMS from RDC,N/A - From RDC,129
84371,DN-3712,Generic,Burundi,25-Jun-14,01-Jul-14,200/50mg,Tablet,No,See DN-3712 (ID#:83795),From RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",4.12,200,4008.0,PMO - US,Mylan (formerly Matrix) Nashik,Lopinavir/Ritonavir,20.04,N/A - From RDC,SO-47670,FPQ-13627,1/24/14,ARV,102-BI-T30,30-May-14,Air,Adult,120,0.17,SCMS from RDC,N/A - From RDC,See DN-3712 (ID#:83795)
84248,DN-3116,Generic,Zambia,13-May-13,13-May-13,200/300mg,Tablet - FDC,Yes,50626.6,From RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",524.18,69811,423752.77,PMO - US,Mylan (formerly Matrix) Nashik,Emtricitabine/Tenofovir Disoproxil Fumarate,6.07,N/A - From RDC,SO-44910,FPQ-11969,3/26/13,ARV,110-ZM-T30,28-Jun-13,Air,Adult,30,0.2,SCMS from RDC,N/A - From RDC,7632
85247,DN-2605,Generic,Zimbabwe,10-Apr-12,10-Apr-12,300/300mg,Tablet - FDC,No,See DN-2605 (ID#:82467),From RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",783.32,78082,474738.56,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Tenofovir Disoproxil Fumarate,6.08,N/A - From RDC,SO-40850,FPQ-8464,10-04-11,ARV,113-ZW-T30,13-Apr-12,Truck,Adult,30,0.2,SCMS from RDC,N/A - From RDC,See DN-2605 (ID#:82467)
86634,DN-3505,Generic,Tanzania,19-Feb-14,24-Feb-14,200/50mg,Tablet,No,See DN-3505 (ID#:82627),From RDC,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",829.76,32753,670781.44,PMO - US,Mylan (formerly Matrix) Nashik,Lopinavir/Ritonavir,20.48,N/A - From RDC,SO-45998,FPQ-12587,07-04-13,ARV,109-TZ-T30,31-Jan-14,Truck,Adult,120,0.17,SCMS from RDC,N/A - From RDC,See DN-3505 (ID#:82627)
85390,DN-3269,Generic,"Congo, DRC",08-Feb-14,11-Mar-14,30/60mg,Tablet - FDC,No,See DN-3269 (ID#:83711),From RDC,"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",3.95,1413,3193.38,PMO - US,"Aurobindo Unit III, India",Lamivudine/Zidovudine,2.26,N/A - From RDC,SO-45030,FPQ-12088,04-12-13,ARV,101-CD-T30,28-Aug-13,Air,Pediatric,60,0.04,SCMS from RDC,N/A - From RDC,See DN-3269 (ID#:83711)
36643,ASN-8381,Generic,South Africa,13-Dec-10,13-Dec-10,300mg,Tablet,Yes,1697.9,Direct Drop,"Zidovudine 300mg, tablets, 60 Tabs",134.02,8366,62159.38,PMO - US,"Aurobindo Unit III, India",Zidovudine,7.43,3/19/10,SCMS-69030,FPQ-5303,3/18/10,ARV,161-ZA-T30,20-Sep-10,Air,Adult,60,0.12,Aurobindo Pharma Limited,DDP,458
84638,DN-2159,Generic,CÃte dIvoire,07-Jun-11,07-Jun-11,200mg,Capsule,Yes,3380.36,From RDC,"Efavirenz 200mg, capsule, 90 Caps",0.42,20,194.2,PMO - US,"Aurobindo Unit III, India",Efavirenz,9.71,N/A - From RDC,SO-38980,FPQ-6144,08-03-10,ARV,104-CI-T30,31-Mar-11,Air,Pediatric,90,0.11,SCMS from RDC,N/A - From RDC,5
82454,DN-2566,Generic,Nigeria,16-Feb-12,16-Feb-12,600/200/300mg,Tablet - FDC,Yes,25231.96,From RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",628.56,26798,448330.54,PMO - US,Mylan (formerly Matrix) Nashik,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,16.73,N/A - From RDC,SO-41264,FPQ-8952,12-08-11,ARV,151-NG-T30,20-Jun-12,Air Charter,Adult,30,0.56,SCMS from RDC,N/A - From RDC,3203
12548,DN-917,Generic,Nigeria,24-Sep-08,24-Sep-08,600mg,Tablet,No,See DN-917 (ID#:10745),From RDC,"Efavirenz 600mg, tablets, 30 Tabs",36.7,1957,22936.04,PMO - US,"Aurobindo Unit III, India",Efavirenz,11.72,N/A - From RDC,SO-2728,Pre-PQ Process,Pre-PQ Process,ARV,112-NG-T01,24-Sep-08,Air,Adult,30,0.39,SCMS from RDC,N/A - From RDC,See DN-917 (ID#:10745)
1306,ASN-624,Generic,Vietnam,24-Aug-07,24-Aug-07,150/200/30mg,Tablet - FDC,Yes,21439.59,Direct Drop,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",300,25000,187500.0,PMO - US,"Cipla, Goa, India",Lamivudine/Nevirapine/Stavudine,7.5,02-07-07,SCMS-314,Pre-PQ Process,Pre-PQ Process,ARV,108-VN-T01,24-Aug-07,Air,Adult,60,0.12,CIPLA LIMITED,EXW,2348
84132,DN-2494,Generic,"Congo, DRC",14-Feb-12,14-Feb-12,300mg,Tablet,No,See DN-2494 (ID#:82433),From RDC,"Abacavir 300mg, tablets, 60 Tabs",0.41,20,292.6,PMO - US,Mylan (formerly Matrix) Nashik,Abacavir,14.63,N/A - From RDC,SO-41132,FPQ-8840,11/21/11,ARV,101-CD-T30,16-Mar-12,Air,Adult,60,0.24,SCMS from RDC,N/A - From RDC,See DN-2494 (ID#:82433)
10228,ASN-3561,Generic,Vietnam,07-Apr-09,07-Apr-09,200mg,Tablet,No,See ASN-3561 (ID#:2297),Direct Drop,"Nevirapine 200mg, tablets, 60 Tabs",44.34,7800,22620.0,PMO - US,"Aurobindo Unit III, India",Nevirapine,2.9,1/16/09,SCMS-37160,Pre-PQ Process,Pre-PQ Process,ARV,108-VN-T01,07-Apr-09,Air,Adult,60,0.05,Aurobindo Pharma Limited,EXW,See ASN-3561 (ID#:2297)
82405,DN-2358,Generic,Nigeria,28-Sep-11,28-Sep-11,150/300mg,Tablet - FDC,Yes,18495.9,From RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",46.97,3446,28463.96,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Zidovudine,8.26,N/A - From RDC,SO-39998,FPQ-7812,06-06-11,ARV,151-NG-T30,03-Nov-11,Air Charter,Adult,60,0.14,SCMS from RDC,N/A - From RDC,6622
35519,ASN-6937,Generic,South Africa,01-Jun-10,01-Jun-10,600mg,Tablet,Yes,6105.83,Direct Drop,"Efavirenz 600mg, tablets, 30 Tabs",543.27,53957,251979.19,PMO - US,"Aurobindo Unit III, India",Efavirenz,4.67,3/19/10,SCMS-68860,FPQ-5303,3/18/10,ARV,161-ZA-T30,01-Jun-10,Air,Adult,30,0.16,Aurobindo Pharma Limited,DDP,4565
57055,ASN-23946,Determine,Nigeria,18-Feb-14,19-Mar-14,MIssing,Test kit,Yes,66059.65,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1188.78,10798,961022.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",89.0,11-01-13,SCMS-210351,FPQ-12812,8/13/13,HRDT,133-NG-T30,18-Feb-14,Air,HIV test,100,0.89,"Orgenics, Ltd",EXW,4388
78361,ASN-29195,Isentress,Haiti,24-Nov-14,24-Nov-14,400mg,Tablet,Yes,Freight Included in Commodity Cost,Direct Drop,"Raltegravir 400mg [Isentress], tablets, 60 Tabs",9.19,161,8935.5,PMO - US,"MSD, Haarlem, NL",Raltegravir,55.5,06-03-14,SCMS-242450,FPQ-14314,5/21/14,ARV,106-HT-T30,24-Nov-14,Air,Adult,60,0.92,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),CIP,Weight Captured Separately
6062,ASN-2717,Generic,Namibia,29-Oct-08,29-Oct-08,MIssing,Test kit - Ancillary,No,See ASN-2717 (ID#:791),Direct Drop,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",0,150,1.5,PMO - US,Inverness Japan,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",0.01,9/24/08,SCMS-31180,Pre-PQ Process,Pre-PQ Process,HRDT,119-NA-T01,29-Oct-08,Air,HIV test - Ancillary,100,0.0,"Orgenics, Ltd",EXW,See ASN-2717 (ID#:791)
10949,DN-722,Aluvia,Tanzania,30-Apr-08,30-Apr-08,200/50mg,Tablet,Yes,3562.4,From RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",169.66,2580,106038.0,PMO - US,ABBVIE Ludwigshafen Germany,Lopinavir/Ritonavir,41.1,N/A - From RDC,SO-2000,Pre-PQ Process,Pre-PQ Process,ARV,109-TZ-T01,30-Apr-08,MIssing,Adult,120,0.34,SCMS from RDC,N/A - From RDC,559
84752,DN-2835,Generic,Zimbabwe,03-Sep-12,03-Sep-12,200mg,Tablet,Yes,7423.38,From RDC,"Nevirapine 200mg, tablets, 60 Tabs",206.26,60794,147121.48,PMO - US,Mylan (formerly Matrix) Nashik,Nevirapine,2.42,N/A - From RDC,SO-42281,FPQ-9927,5/15/12,ARV,102-ZW-T30,25-Sep-12,Truck,Adult,60,0.04,SCMS from RDC,N/A - From RDC,6003
85136,DN-1966,Generic,Nigeria,17-Aug-10,17-Aug-10,200/300mg,Tablet - FDC,Yes,6147.18,From RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",76,3000,35250.0,PMO - US,Mylan (formerly Matrix) Nashik,Emtricitabine/Tenofovir Disoproxil Fumarate,11.75,N/A - From RDC,SO-36411,FPQ-5023,02-10-10,ARV,151-NG-T30,09-Aug-10,Air Charter,Adult,30,0.39,SCMS from RDC,N/A - From RDC,270
26686,ASN-15983,Uni-Gold,Botswana,27-Aug-12,27-Aug-12,MIssing,Test kit,Yes,13179.8,Direct Drop,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",179.46,4000,128000.0,PMO - US,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",32.0,08-02-12,SCMS-155770,FPQ-10435,7/27/12,HRDT,102-BW-T30,27-Aug-12,Air,HIV test,20,1.6,"Trinity Biotech, Plc",EXW,1315
10792,DN-1400,Generic,CÃte dIvoire,09-Sep-09,09-Sep-09,150/300mg,Tablet - FDC,Yes,3144.57,From RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",151.5,8824,77298.24,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Zidovudine,8.76,N/A - From RDC,SO-31730,Pre-PQ Process,Date Not Captured,ARV,104-CI-T01,09-Sep-09,Air,Adult,60,0.15,SCMS from RDC,N/A - From RDC,706
19177,ASN-22377,Determine,CÃte dIvoire,13-Nov-13,14-Nov-13,MIssing,Test kit,Yes,24728.57,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",435.42,4400,352000.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",80.0,5/21/13,SCMS-188291,FPQ-12133,4/18/13,HRDT,104-CI-T30,13-Nov-13,Air,HIV test,100,0.8,"Orgenics, Ltd",EXW,1033
70138,ASN-28021,Generic,South Africa,28-Aug-14,28-Aug-14,600mg,Tablet,No,Freight Included in Commodity Cost,Direct Drop,"Efavirenz 600mg, tablets, 30 Tabs",1.92,120,1871.52,PMO - US,"Aurobindo Unit III, India",Efavirenz,15.6,8/28/14,SCMS-238553,FPQ-13973,4/30/14,ARV,116-ZA-T30,28-Aug-14,Truck,Adult,30,0.52,PHARMACY DIRECT,DDP,Weight Captured Separately
82726,DN-3872,Generic,Mozambique,27-Oct-14,07-Nov-14,150/300/200mg,Tablet - FDC,Yes,18448.52,From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",334.07,40070,324967.7,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Nevirapine/Zidovudine,8.11,N/A - From RDC,SO-47460,FPQ-13394,12-09-13,ARV,111-MZ-T30,30-Sep-14,Truck,Adult,60,0.14,SCMS from RDC,N/A - From RDC,28111
28506,ASN-21668,Generic,Vietnam,25-Sep-13,25-Sep-13,300mg,Tablet,No,See ASN-21668 (ID#:17501),Direct Drop,"Zidovudine 300mg, tablets, 60 Tabs",3.58,503,2892.25,PMO - US,Hetero Unit III Hyderabad IN,Zidovudine,5.75,5/15/13,SCMS-188700,FPQ-12051,05-03-13,ARV,108-VN-T30,25-Sep-13,Air,Adult,60,0.1,HETERO LABS LIMITED,EXW,See ASN-21668 (ID#:17501)
9316,ASN-582,Determine,Nigeria,06-Aug-07,06-Aug-07,MIssing,Test kit,Yes,10879.22,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",448,3500,280000.0,PMO - US,ABBVIE GmbH & Co.KG Wiesbaden,"HIV 1/2, Determine Complete HIV Kit",80.0,06-06-07,SCMS-694,Pre-PQ Process,Pre-PQ Process,HRDT,102-NG-T01,06-Aug-07,Air,HIV test,100,0.8,Abbott GmbH & Co. KG,EXW,1192
10503,ASN-5365,Determine,Zambia,11-Nov-09,11-Nov-09,MIssing,Test kit,Yes,7513.71,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",388.08,2500,180000.0,PMO - US,Inverness Japan,"HIV 1/2, Determine Complete HIV Kit",72.0,10-05-09,SCMS-54620,Pre-PQ Process,Pre-PQ Process,HRDT,110-ZM-T01,11-Nov-09,Air,HIV test,100,0.72,"Orgenics, Ltd",EXW,740
85172,DN-2090,Generic,Nigeria,16-Feb-11,16-Feb-11,200/300mg,Tablet - FDC,No,See DN-2090 (ID#:82366),From RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",1306.38,55488,605928.96,PMO - US,Mylan (formerly Matrix) Nashik,Emtricitabine/Tenofovir Disoproxil Fumarate,10.92,N/A - From RDC,SO-38320,FPQ-6243,8/25/10,ARV,151-NG-T30,22-Feb-11,Air Charter,Adult,30,0.36,SCMS from RDC,N/A - From RDC,See DN-2090 (ID#:82366)
84064,DN-2125,Generic,Zambia,05-Apr-11,05-Apr-11,150/200/30mg,Tablet - FDC,No,See DN-2125 (ID#:82941),From RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",41.45,3355,19224.15,PMO - US,"Strides, Bangalore, India.",Lamivudine/Nevirapine/Stavudine,5.73,N/A - From RDC,SO-37950,FPQ-6221,8/20/10,ARV,110-ZM-T30,31-Mar-11,Truck,Adult,60,0.1,SCMS from RDC,N/A - From RDC,See DN-2125 (ID#:82941)
50438,ASN-30671,Generic,South Africa,12-Feb-15,12-Feb-15,400mg,Delayed-release capsules,No,Freight Included in Commodity Cost,Direct Drop,"Didanosine 400mg, delayed-release capsules, 30 Caps",0.09,6,85.3,PMO - US,"Aurobindo Unit III, India",Didanosine,14.22,02-12-15,SCMS-259073,FPQ-14942,09-11-14,ARV,116-ZA-T30,12-Feb-15,Truck,Adult,30,0.47,PHARMACY DIRECT,DDP,Weight Captured Separately
84102,DN-2283,Generic,Haiti,21-Jul-11,21-Jul-11,200mg,Chewable/dispersible tablet,Yes,1128.54,From RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",4.46,180,2700.0,PMO - US,"Aurobindo Unit III, India",Didanosine,15.0,N/A - From RDC,SO-38211,FPQ-6801,12/14/10,ARV,106-HT-T30,19-Jul-11,Air,Pediatric,60,0.25,SCMS from RDC,N/A - From RDC,38
82980,DN-2354,Generic,Nigeria,28-Sep-11,28-Sep-11,300mg,Tablet,Yes,18495.9,From RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",17.36,1639,10522.38,PMO - US,Mylan (formerly Matrix) Nashik,Tenofovir Disoproxil Fumarate,6.42,N/A - From RDC,SO-39995,FPQ-7812,06-06-11,ARV,151-NG-T30,03-Nov-11,Air Charter,Adult,30,0.21,SCMS from RDC,N/A - From RDC,107
7128,ASN-2300,Epivir,South Africa,14-May-08,14-May-08,10mg/ml,Oral solution,No,Freight Included in Commodity Cost,Direct Drop,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",4.71,470,2942.2,PMO - US,GSK Mississauga (Canada),Lamivudine,6.26,Date Not Captured,SCMS-23500,Pre-PQ Process,Pre-PQ Process,ARV,116-ZA-T01,20-Aug-08,Truck,Pediatric,240,0.03,S. BUYS WHOLESALER,DDP,Weight Captured Separately
37334,ASN-29450,Invirase,South Africa,19-Nov-14,19-Nov-14,200mg,Capsule,No,Freight Included in Commodity Cost,Direct Drop,"Saquinavir 200mg [Invirase], capsules, 270 Caps",3.15,30,2542.45,PMO - US,Roche Madrid,Saquinavir,84.75,8/13/13,SCMS-199310,FPQ-12523,07-12-13,ARV,116-ZA-T30,19-Nov-14,Truck,Adult,270,0.31,S. BUYS WHOLESALER,DDP,Weight Captured Separately
51268,ASN-17646,Determine,Nigeria,17-Jan-13,17-Jan-13,MIssing,Test kit,Yes,25577.15,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",342.39,2744,244216.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",89.0,10/16/12,SCMS-162440,FPQ-10765,10-05-12,HRDT,133-NG-T30,09-Jan-13,Air,HIV test,100,0.89,"Orgenics, Ltd",EXW,1235
81726,ASN-20041,Generic,Vietnam,13-Jul-13,13-Jul-13,600/300/300mg,Tablet - FDC,Yes,6973.87,Direct Drop,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",40.72,2865,32918.85,PMO - US,Mylan (formerly Matrix) Nashik,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,11.49,2/13/13,SCMS-177630,FPQ-11560,02-07-13,ARV,108-VN-T30,13-Jul-13,Air,Adult,30,0.38,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),EXW,332
47625,ASN-8703,Generic,South Africa,01-Dec-10,01-Dec-10,300mg,Tablet,Yes,3646.13,Direct Drop,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",914.6,54247,424211.54,PMO - US,"Cipla, Goa, India",Tenofovir Disoproxil Fumarate,7.82,3/19/10,SCMS-68750,FPQ-5303,3/18/10,ARV,161-ZA-T30,13-Oct-10,Air,Adult,30,0.26,CIPLA LIMITED,DDP,3728
82724,DN-3870,Generic,Ethiopia,10-Jul-14,17-Jul-14,60/30mg,Tablet - FDC,Yes,630,From RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs",12.91,3071,12560.39,PMO - US,"Aurobindo Unit III, India",Abacavir/Lamivudine,4.09,N/A - From RDC,SO-49230,FPQ-14544,6/30/14,ARV,117-ET-T30,29-Jul-14,Air,Pediatric,60,0.07,SCMS from RDC,N/A - From RDC,115
81450,ASN-18664,Generic,Vietnam,02-Apr-13,02-Apr-13,300mg,Tablet,No,See ASN-18664 (ID#:19406),Direct Drop,"Abacavir 300mg, tablets, 60 Tabs",4.68,293,3779.7,PMO - US,Hetero Unit III Hyderabad IN,Abacavir,12.9,11-07-12,SCMS-164680,FPQ-10811,10/15/12,ARV,108-VN-T30,02-Apr-13,Air,Adult,60,0.22,HETERO LABS LIMITED,EXW,See ASN-18664 (ID#:19406)
82989,DN-2420,Generic,CÃte dIvoire,19-Nov-11,19-Nov-11,600/200/300mg,Tablet - FDC,Yes,3296.34,From RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",219.49,6678,133025.76,PMO - US,Mylan (formerly Matrix) Nashik,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,19.92,N/A - From RDC,SO-40750,FPQ-8295,8/25/11,ARV,104-CI-T30,09-Dec-11,Truck,Adult,30,0.66,SCMS from RDC,N/A - From RDC,2244
