id,asn_dn,brand,country,delivered_to_client_date,delivery_recorded_date,dosage,dosage_form,first_line_designation,freight_cost,fulfill_via,item_description,line_item_insurance,line_item_quantity,line_item_value,managed_by,manufacturing_site,molecule_test_type,pack_price,po_sent_to_vendor_date,po_so,pq,pq_first_sent_to_client_date,product_group,project_code,scheduled_delivery_date,shipment_mode,sub_classification,unit_of_measure,unit_price,vendor,vendor_inco_term,weight
84757,DN-2865,Generic,Zambia,05-Oct-12,05-Oct-12,200mg,Tablet,No,See DN-2865 (ID#:82514),From RDC,"Nevirapine 200mg, tablets, 60 Tabs",339.28,100000,242000.0,PMO - US,Hetero Unit III Hyderabad IN,Nevirapine,2.42,N/A - From RDC,SO-41992,FPQ-9773,4/27/12,ARV,110-ZM-T30,10-Oct-12,Truck,Adult,60,0.04,SCMS from RDC,N/A - From RDC,See DN-2865 (ID#:82514)
84991,DN-3954,Generic,"Congo, DRC",14-Apr-15,14-Apr-15,200mg,Tablet,No,See DN-3954 (ID#:82743),From RDC,"Nevirapine 200mg, tablets, 60 Tabs",13.11,5850,12753.0,PMO - US,Hetero Unit III Hyderabad IN,Nevirapine,2.18,N/A - From RDC,SO-49310,FPQ-14576,7/14/14,ARV,101-CD-T30,14-Apr-15,Air,Adult,60,0.04,SCMS from RDC,N/A - From RDC,See DN-3954 (ID#:82743)
86575,DN-3186,Generic,Zambia,07-Jun-13,07-Jun-13,150/300mg,Tablet - FDC,No,See DN-3186 (ID#:83688),From RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",126.34,12873,90111.0,PMO - US,"Cipla, Goa, India",Lamivudine/Zidovudine,7.0,N/A - From RDC,SO-43460,FPQ-10728,10-05-12,ARV,110-ZM-T30,28-Jun-13,Truck,Adult,60,0.12,SCMS from RDC,N/A - From RDC,See DN-3186 (ID#:83688)
59776,ASN-13032,Determine,Zambia,16-Dec-11,16-Dec-11,MIssing,Test kit,Yes,25037.09,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",378.84,2870,229600.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",80.0,9/22/11,SCMS-120570,FPQ-8315,8/31/11,HRDT,110-ZM-T30,20-Dec-11,Air,HIV test,100,0.8,"Orgenics, Ltd",EXW,1368
84360,DN-3648,Generic,Zambia,19-May-14,12-Jun-14,300/300mg,Tablet - FDC,Yes,19564.23,From RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",133.08,27900,129456.0,PMO - US,Ranbaxy per Shasun Pharma Ltd,Lamivudine/Tenofovir Disoproxil Fumarate,4.64,N/A - From RDC,SO-47201,FPQ-13221,10/31/13,ARV,110-ZM-T30,06-May-14,Truck,Adult,30,0.15,SCMS from RDC,N/A - From RDC,17018
9640,ASN-1613,Uni-Gold,Guyana,06-May-08,06-May-08,MIssing,Test kit,Yes,3740.04,Direct Drop,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",38.3,748,23936.0,PMO - US,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",32.0,3/13/08,SCMS-18800,Pre-PQ Process,Pre-PQ Process,HRDT,102-GY-T01,06-May-08,Air,HIV test,20,1.6,"Trinity Biotech, Plc",EXW,748
46348,ASN-21426,Generic,Mozambique,09-Oct-13,06-Nov-13,150/30mg,Tablet - FDC,Yes,4683.02,Direct Drop,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",65.11,18025,52633.0,PMO - US,"Strides, Bangalore, India.",Lamivudine/Stavudine,2.92,04-11-13,SCMS-185200,FPQ-11915,3/20/13,ARV,111-MZ-T30,09-Oct-13,Air,Adult,60,0.05,STRIDES ARCOLAB LIMITED,EXW,1139
35375,ASN-11720,Generic,South Africa,03-Nov-11,03-Nov-11,600mg,Tablet,Yes,4232.71,Direct Drop,"Efavirenz 600mg, tablets, 30 Tabs",515.36,69255,312340.05,PMO - US,"Aurobindo Unit III, India",Efavirenz,4.51,04-01-11,SCMS-104380,FPQ-7176,03-10-11,ARV,116-ZA-T30,03-Nov-11,Ocean,Adult,30,0.15,Aurobindo Pharma Limited,DDP,5887
49859,ASN-5580,Atripla,CÃte dIvoire,18-Dec-09,18-Dec-09,600/200/300mg,Tablet - FDC,Yes,Freight Included in Commodity Cost,Direct Drop,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",687.54,6960,350784.0,PMO - US,"MSD, Haarlem, NL",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,50.4,9/25/09,SCMS-52620,FPQ-3967,8/21/09,ARV,104-CI-T30,18-Dec-09,Air,Adult,30,1.68,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),CIP,Weight Captured Separately
37416,ASN-30448,Kaletra,South Africa,29-Jan-15,29-Jan-15,80/20mg/ml,Oral solution,Yes,Freight Included in Commodity Cost,Direct Drop,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",0.03,2,31.89,PMO - US,ABBVIE (Abbott) Logis. UK,Lopinavir/Ritonavir,15.94,1/29/15,SCMS-259082,FPQ-14942,09-11-14,ARV,116-ZA-T30,29-Jan-15,Truck,Pediatric,300,0.05,PHARMACY DIRECT,DDP,Weight Captured Separately
11194,DN-423,Trizivir,CÃte dIvoire,13-Nov-07,13-Nov-07,300/150/300mg,Tablet - FDC,Yes,10137.04,From RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",234.96,3300,146850.0,PMO - US,GSK Ware (UK),Abacavir/Lamivudine/Zidovudine,44.5,N/A - From RDC,SO-1245,Pre-PQ Process,Pre-PQ Process,ARV,104-CI-T01,13-Nov-07,Air,Adult,60,0.74,SCMS from RDC,N/A - From RDC,2143
77480,ASN-28034,Generic,South Africa,29-Aug-14,29-Aug-14,200mg,Capsule,No,Freight Included in Commodity Cost,Direct Drop,"Efavirenz 200mg, capsule, 90 Caps",1.84,57,1483.72,PMO - US,"Aurobindo Unit III, India",Efavirenz,26.03,8/29/14,SCMS-199289,FPQ-12522,07-11-13,ARV,116-ZA-T30,29-Aug-14,Truck,Pediatric,90,0.29,S. BUYS WHOLESALER,DDP,Weight Captured Separately
82695,DN-3794,Generic,Nigeria,20-Jun-14,25-Jun-14,150/300/200mg,Tablet - FDC,No,See DN-3794 (ID#:82694),From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",1210.84,145235,1177855.85,PMO - US,"Strides, Bangalore, India.",Lamivudine/Nevirapine/Zidovudine,8.11,N/A - From RDC,SO-47272,FPQ-13293,11/19/13,ARV,151-NG-T30,30-Jun-14,Air Charter,Adult,60,0.14,SCMS from RDC,N/A - From RDC,See DN-3794 (ID#:82694)
51034,ASN-22345,Determine,Nigeria,07-Nov-13,17-Nov-13,MIssing,Test kit,Yes,6522.64,Direct Drop,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",98.86,898,79922.0,PMO - US,"Alere Medical Co., Ltd.","HIV 1/2, Determine Complete HIV Kit",89.0,07-10-13,SCMS-196561,FPQ-12456,06-10-13,HRDT,133-NG-T30,07-Nov-13,Air,HIV test,100,0.89,"Orgenics, Ltd",EXW,364
85224,DN-2499,Generic,"Congo, DRC",14-Feb-12,14-Feb-12,200mg,Tablet,No,See DN-2499 (ID#:83004),From RDC,"Nevirapine 200mg, tablets, 60 Tabs",1.45,400,1032.0,PMO - US,"Strides, Bangalore, India.",Nevirapine,2.58,N/A - From RDC,SO-41137,FPQ-8840,11/21/11,ARV,101-CD-T30,16-Mar-12,Air,Adult,60,0.04,SCMS from RDC,N/A - From RDC,See DN-2499 (ID#:83004)
84560,DN-1799,Generic,CÃte dIvoire,07-May-10,07-May-10,600mg,Tablet,Yes,19150.15,From RDC,"Efavirenz 600mg, tablets, 30 Tabs",461.95,45108,214263.0,PMO - US,"Aurobindo Unit III, India",Efavirenz,4.75,N/A - From RDC,SO-35560,FPQ-4659,12-08-09,ARV,104-CI-T30,10-May-10,Air,Adult,30,0.16,SCMS from RDC,N/A - From RDC,9863
83416,DN-1762,Generic,Nigeria,31-Mar-10,31-Mar-10,200mg,Tablet,Yes,124350.84,From RDC,"Nevirapine 200mg, tablets, 60 Tabs",88.29,15000,40950.0,PMO - US,"Aurobindo Unit III, India",Nevirapine,2.73,N/A - From RDC,SO-34890,FPQ-4537,11-06-09,ARV,151-NG-T30,19-Apr-10,Air,Adult,60,0.05,SCMS from RDC,N/A - From RDC,1444
11464,DN-375,Determine,Mozambique,31-Oct-07,31-Oct-07,MIssing,Test kit,Yes,1871.05,From RDC,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",460.8,4000,288000.0,PMO - US,ABBVIE GmbH & Co.KG Wiesbaden,"HIV 1/2, Determine Complete HIV Kit",72.0,N/A - From RDC,SO-1110,Pre-PQ Process,Pre-PQ Process,HRDT,111-MZ-T01,31-Oct-07,Air,HIV test,100,0.72,SCMS from RDC,N/A - From RDC,2526
84088,DN-2205,Generic,Zimbabwe,15-Jun-11,15-Jun-11,150/30mg,Tablet - FDC,No,See DN-2205 (ID#:82950),From RDC,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",32.21,4669,14940.8,PMO - US,"Cipla, Goa, India",Lamivudine/Stavudine,3.2,N/A - From RDC,SO-39510,FPQ-6470,10/13/10,ARV,113-ZW-T30,31-May-11,Truck,Adult,60,0.05,SCMS from RDC,N/A - From RDC,See DN-2205 (ID#:82950)
59043,ASN-28279,Uni-Gold,"Congo, DRC",04-Nov-14,20-Nov-14,MIssing,Test kit,No,See ASN-28279 (ID#:13547),Direct Drop,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",0.49,15,480.0,PMO - US,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",32.0,8/27/14,SCMS-253260,FPQ-14654,08-11-14,HRDT,101-CD-T30,04-Nov-14,Air,HIV test,20,1.6,"Trinity Biotech, Plc",EXW,See ASN-28279 (ID#:13547)
85985,DN-3239,Generic,Nigeria,23-Jul-13,23-Jul-13,150/300/200mg,Tablet - FDC,Yes,Freight Included in Commodity Cost,From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",0.28,26,223.08,PMO - US,Hetero Unit III Hyderabad IN,Lamivudine/Nevirapine/Zidovudine,8.58,N/A - From RDC,SO-44755,FPQ-11771,2/28/13,ARV,151-NG-T30,21-Aug-13,Air Charter,Adult,60,0.14,SCMS from RDC,N/A - From RDC,33051
83503,DN-2211,Generic,Nigeria,05-Jul-11,05-Jul-11,300/300mg,Tablet - FDC,Yes,13398.06,From RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",1028.18,70651,623141.82,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Tenofovir Disoproxil Fumarate,8.82,N/A - From RDC,SO-39570,FPQ-7217,2/21/11,ARV,151-NG-T30,15-Jun-11,Air Charter,Adult,30,0.29,SCMS from RDC,N/A - From RDC,6749
86304,DN-1799,Generic,CÃte dIvoire,07-May-10,07-May-10,150/300mg,Tablet - FDC,No,See DN-1799 (ID#:84560),From RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",829.96,45024,384955.2,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Zidovudine,8.55,N/A - From RDC,SO-35560,FPQ-4659,12-08-09,ARV,104-CI-T30,10-May-10,Air,Adult,60,0.14,SCMS from RDC,N/A - From RDC,See DN-1799 (ID#:84560)
5801,ASN-2293,Viread,South Africa,08-May-08,08-May-08,300mg,Tablet,No,Freight Included in Commodity Cost,Direct Drop,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",1.18,30,738.3,PMO - US,Gilead(Nycomed) Oranienburg DE,Tenofovir Disoproxil Fumarate,24.61,Date Not Captured,SCMS-23500,Pre-PQ Process,Pre-PQ Process,ARV,116-ZA-T01,20-Aug-08,Truck,Adult,30,0.82,S. BUYS WHOLESALER,DDP,Weight Captured Separately
82280,DN-1579,Generic,Uganda,10-Dec-09,10-Dec-09,300mg,Tablet,Yes,1898.84,From RDC,"Zidovudine 300mg, tablets, 60 Tabs",69.81,4730,35616.9,PMO - US,"Aurobindo Unit III, India",Zidovudine,7.53,N/A - From RDC,SO-33990,FPQ-4275,9/17/09,ARV,114-UG-T30,15-Jan-10,Air,Adult,60,0.13,SCMS from RDC,N/A - From RDC,260
10889,DN-381,Generic,Uganda,05-Nov-07,05-Nov-07,600mg,Tablet,Yes,1157.58,From RDC,"Efavirenz 600mg, tablets, 30 Tabs",34.12,1717,21325.14,PMO - US,"Aurobindo Unit III, India",Efavirenz,12.42,N/A - From RDC,SO-1123,Pre-PQ Process,Pre-PQ Process,ARV,114-UG-T01,05-Nov-07,Air,Adult,30,0.41,SCMS from RDC,N/A - From RDC,151
4650,ASN-2658,Generic,Mozambique,01-Nov-08,01-Nov-08,MIssing,Test kit - Ancillary,Yes,23743.01,Direct Drop,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",0.15,7690,76.9,PMO - US,Inverness Japan,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",0.01,8/26/08,SCMS-28730,Pre-PQ Process,Pre-PQ Process,HRDT,111-MZ-T01,01-Nov-08,Air,HIV test - Ancillary,100,0.0,"Orgenics, Ltd",EXW,2278
83733,DN-3376,Generic,Mozambique,28-Nov-13,12-Dec-13,600mg,Tablet,No,See DN-3376 (ID#:83175),From RDC,"Efavirenz 600mg, tablets, 30 Tabs",131.81,32000,106560.0,PMO - US,"Strides, Bangalore, India.",Efavirenz,3.33,N/A - From RDC,SO-45892,FPQ-12416,6/28/13,ARV,111-MZ-T30,29-Nov-13,Truck,Adult,30,0.11,SCMS from RDC,N/A - From RDC,See DN-3376 (ID#:83175)
10756,DN-1174,Generic,Mozambique,14-May-09,14-May-09,150mg,Tablet,Yes,968.55,From RDC,"Lamivudine 150mg, tablets, 60 Tabs",2.76,486,1409.4,PMO - US,Hetero Unit III Hyderabad IN,Lamivudine,2.9,N/A - From RDC,SO-27880,Pre-PQ Process,Pre-PQ Process,ARV,111-MZ-T01,14-May-09,Air,Adult,60,0.05,SCMS from RDC,N/A - From RDC,23
85281,DN-2763,Generic,Zambia,01-Aug-12,01-Aug-12,300mg,Tablet,No,See DN-2763 (ID#:82493),From RDC,"Abacavir 300mg, tablets, 60 Tabs",498.8,27452,355777.92,PMO - US,Mylan (formerly Matrix) Nashik,Abacavir,12.96,N/A - From RDC,SO-41720,FPQ-9472,03-08-12,ARV,110-ZM-T30,31-Jul-12,Truck,Adult,60,0.22,SCMS from RDC,N/A - From RDC,See DN-2763 (ID#:82493)
86683,DN-3713,Generic,Uganda,28-May-14,11-Jun-14,150/300/200mg,Tablet - FDC,Yes,6901.96,From RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",383.09,45950,372654.5,PMO - US,Hetero Unit III Hyderabad IN,Lamivudine/Nevirapine/Zidovudine,8.11,N/A - From RDC,SO-46850,FPQ-13107,10/16/13,ARV,114-UG-T30,30-May-14,Truck,Adult,60,0.14,SCMS from RDC,N/A - From RDC,6061
85948,DN-3063,Generic,Mozambique,16-Apr-13,16-Apr-13,300/300mg,Tablet - FDC,No,See DN-3063 (ID#:84799),From RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",50.61,7680,36096.0,PMO - US,"Aurobindo Unit VII, IN",Lamivudine/Tenofovir Disoproxil Fumarate,4.7,N/A - From RDC,SO-42860,FPQ-10211,6/28/12,ARV,111-MZ-T30,08-Apr-13,Truck,Adult,30,0.16,SCMS from RDC,N/A - From RDC,See DN-3063 (ID#:84799)
50309,ASN-18910,Generic,Uganda,10-Apr-13,10-Apr-13,50mg,Capsule,Yes,1021.34,Direct Drop,"Efavirenz 50mg, capsule, 30 Caps",0.42,168,336.0,PMO - US,"Micro labs, Verna, Goa, India",Efavirenz,2.0,02-07-13,SCMS-177120,FPQ-11153,12/13/12,ARV,114-UG-T30,10-Apr-13,Air,Pediatric,30,0.07,MICRO LABS LIMITED,EXW,8
82441,DN-2509,Generic,"Congo, DRC",13-Apr-12,13-Apr-12,300mg,Tablet,Yes,1418.01,From RDC,"Zidovudine 300mg, tablets, 60 Tabs",0.96,98,687.96,PMO - US,Hetero Unit III Hyderabad IN,Zidovudine,7.02,N/A - From RDC,SO-41145,FPQ-8840,11/21/11,ARV,101-CD-T30,16-Mar-12,Air,Adult,60,0.12,SCMS from RDC,N/A - From RDC,65
86032,DN-3504,Generic,CÃte dIvoire,18-Jan-14,04-Mar-14,30/60mg,Tablet - FDC,No,See DN-3504 (ID#:84884),From RDC,"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",33.55,12000,27120.0,PMO - US,Mylan (formerly Matrix) Nashik,Lamivudine/Zidovudine,2.26,N/A - From RDC,SO-46350,FPQ-12800,08-09-13,ARV,104-CI-T30,31-Jan-14,Air,Pediatric,60,0.04,SCMS from RDC,N/A - From RDC,See DN-3504 (ID#:84884)
