brand_Uni-Gold,brand_Others,brand_Kaletra,brand_Determine,brand_Aluvia,country_Others,country_Mozambique,country_South Africa,country_CÃte dIvoire,country_Nigeria,country_Zimbabwe,country_Uganda,country_Vietnam,country_Rwanda,country_Haiti,country_Tanzania,dosage_form_Tablet - FDC,dosage_form_Test kit,dosage_form_Oral solution,dosage_form_Capsule,dosage_form_Others,first_line_designation_Yes,fulfill_via_Direct Drop,managed_by_Haiti Field Office,managed_by_Ethiopia Field Office,product_group_HRDT,product_group_ANTM,product_group_MRDT,product_group_ACT,shipment_mode_Air,shipment_mode_Ocean,shipment_mode_Air Charter,sub_classification_HIV test,sub_classification_Pediatric,sub_classification_Malaria,sub_classification_HIV test - Ancillary,sub_classification_ACT,dosage,freight_cost,line_item_insurance,line_item_quantity,line_item_value,pack_price,unit_of_measure,unit_price,weight,shipping_price
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.7605456411578997,-0.45605880385835945,-0.46185499898340204,-0.450154851842751,-0.40973168894769,-0.2348824878664592,-0.1594204177111649,-0.34331208974212246,1687.53
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0553865392290696,-0.026051011230054114,-0.08978966344723861,-0.17000523232079331,-0.170139556282555,-0.2856269384679558,0.2815590615134824,-0.14680760502134022,-0.5339675143106438,84864.14
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029994483700672727,-1.0061750933422586,-0.45650398769074246,-0.4674594684555747,-0.4508103193805308,-0.18195537914173063,-0.2348824878664592,-0.1058159637794099,-0.6273116634261988,294.95
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029994483700672727,-0.5863243238813683,-0.21605785674787387,-0.4287647802913187,-0.2837515822969977,0.3200558645665877,0.5397798362034533,-0.07743713522730426,-0.5629042005364658,49847.56
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0011174880825824,-0.96136840609088,-0.4301912801241042,-0.3846444887018743,-0.43110133261729605,-0.4125278098423807,2.089104484343278,-0.16888002722853346,-0.5755056606670658,6104.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029994483700672727,-1.0061750933422586,0.32905803064111827,-0.3957938056305582,0.2642272362973642,1.3453718880274077,0.5397798362034533,0.0486909916709429,-0.6273116634261988,203455.40999999997
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.5159253485963196,-0.45701946370718594,-0.4679662555886967,-0.45165823390555365,-0.28003469667857434,-0.2348824878664592,-0.12788838598660313,-0.0604793179219905,2478.56
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5726849951655438,-0.6293548901966562,-0.13538586017446747,-0.16660677742809285,-0.1587384277968199,-0.28067995534657986,-0.6222136499014155,-0.0868967447446728,-0.1916278474293454,85113.45
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0553865392290696,-0.8357562895243579,-0.45561362002597644,-0.45475997911969407,-0.45038405599330944,-0.4383381565626028,-0.9966337732018731,0.1117550551200665,-0.6107430769581879,1248.46
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.6833106185881473,-0.33213368335974003,-0.22962724798220469,-0.2690036507169793,-0.3181049580909018,-0.2348824878664592,-0.13734799550397167,-0.464892843965133,53526.159999999996
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029994483700672727,0.12872581843477532,-0.44574928352948956,-0.45291169663419034,-0.43510448344963015,-0.25766572952104855,0.15244867416849703,-0.14050119867642785,0.684873712765717,10375.3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029994483700672727,-0.3121073979029316,-0.43176113890145484,-0.45619090749556795,-0.42793261164183377,-0.09312476917963317,0.15244867416849703,-0.11212237012432225,0.15211198168868625,10235.79
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5726849951655438,-1.004156774096701,-0.45699603297916574,-0.467936444580866,-0.45163147581731644,-0.282400645127928,-0.2348824878664592,-0.12788838598660313,-0.62497805969831,67.05
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8925793857896083,-0.9476438352210884,-0.439469848420087,-0.4600663385135597,-0.43568119066716426,-0.09290968295696463,1.3144421602733656,-0.14365440184888403,-0.6095762750942434,4886.16
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.200756529560157,0.9588807073250685,-0.16347930307063777,-0.10322857478001256,-0.24710426797545085,-0.35552996083522376,-0.6222136499014155,-0.12158197964169076,-0.37481574006862234,67880.85
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.200756529560157,-0.4827118870914238,-0.32723666120352685,-0.36926200866123016,-0.2939579621429401,-0.16689934355493447,-0.6222136499014155,-0.03013908764046157,-0.5591704345718437,47439.399999999994
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,0.5031240384857086,0.15553005892382293,-0.04703482501913234,0.10618171478046869,-0.2163691747686933,-0.2348824878664592,-0.11212237012432225,1.117757204289104,165971.72
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0553865392290696,3.047364803135225,-0.08643906934035596,-0.36347867314207327,-0.16756937149134668,0.03700239553481956,-0.9966337732018731,7.0803340662482235,-0.035743118406368395,100836.74
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0553865392290696,-0.7817157917245533,-0.4442262862081793,-0.4631070613122917,-0.432875816363555,0.23057999593648476,-0.7513240372464008,0.3324792771919991,-0.61447684292281,6520.11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.029994483700672727,-1.0061750933422586,-0.45605880385835945,-0.46751909047123613,-0.45014274028702256,0.04969248267226205,0.15244867416849703,-0.09004994791712898,-0.6273116634261988,495.33
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5726849951655438,-1.0061750933422586,-0.11432163568434477,-0.262210679541166,-0.014076527439952026,-0.07054071579943888,-0.6222136499014155,0.01715895994638111,-0.6273116634261988,124344.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-1.0061750933422586,-0.4345962569918941,-0.4617655659599099,-0.4360550997422688,-0.006014848998883818,0.15244867416849703,-0.09950955743449753,-0.6273116634261988,4494.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.200756529560157,-0.3095703706112658,5.320693466599687,0.27605687785005595,3.97784013279577,0.6263386456465557,-0.6222136499014155,0.3577049025716485,-0.0527784256199572,1261637.0099999998
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.8925793857896083,-1.0061750933422586,-0.2874044235692571,-0.22962724798220469,-0.32164582353039983,-0.3583260817299144,-0.2348824878664592,-0.14680760502134022,-0.6273116634261988,36972.86
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.8447095536976512,-0.4553324512897345,-0.4549984671823397,-0.4491081176805232,-0.42027091385844734,-0.2348824878664592,-0.1625736208836211,-0.6210109333608989,1567.3400000000001
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.9742856492624486,0.2269469179292667,1.3214096784415816,0.19070086852693174,-0.39230970491154016,-0.2348824878664592,-0.15626721453870876,-0.5904407245255546,182649.2
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9468484369360953,0.8936688125011026,-0.43740794435431307,-0.45952974037260697,-0.43801336930510454,-0.16517865377358631,2.089104484343278,-0.15311401136625258,1.5693095256356018,13343.4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.24135077203176283,-0.01518639873121761,1.4010138375633785,2.949120517005943,2.2643532090741965,-0.3129428887468574,-0.2348824878664592,-0.13734799550397167,1.7450298863456342,776376.6
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029994483700672727,1.875076545653482,0.10156909229339744,0.47868229807536256,0.22694765651718019,-0.3271385794429795,-0.6222136499014155,-0.10896916695186606,0.04359940834185344,207064.77000000002
